Date,WC
10/10/2023,1677
10/10/2023,1677
10/10/2023,1679
10/10/2023,2230
28/11/2023,2251
28/11/2023,2251
05/02/2024,2251
05/02/2024,2578
05/02/2024,2772
08/02/2024,2848
08/02/2024,2848
08/02/2024,3062
26/02/2024,3226
26/02/2024,3606
21/03/2024,3679
21/03/2024,3679
15/04/2024,3507
19/04/2024,4011
21/04/2024,5354
23/04/2024,5354
23/04/2024,6451
24/04/2024,6745
26/04/2024,7880
26/04/2024,7876
27/04/2024,8366
29/04/2024,8701
29/04/2024,9549
30/04/2024,9747
01/05/2024,10705
01/05/2024,10705
02/05/2024,11608
03/05/2024,11747
03/05/2024,12180
07/05/2024,12426
08/05/2024,12717
14/05/2024,13085
15/05/2024,14370
20/05/2024,14573
20/05/2024,14965
30/05/2024,15307
26/06/2024,15083
26/06/2024,15921
08/07/2024,15616
08/07/2024,16324
15/08/2024,16324
15/08/2024,16578
15/08/2024,16819
12/09/2024,17701
12/09/2024,19554
01/10/2024,19769
02/10/2024,19996
09/10/2024,20651
05/11/2024,21589
05/11/2024,21589
06/11/2024,21589
06/11/2024,22670
12/11/2024,23575
12/11/2024,23575
21/11/2024,23736
25/11/2024,24376
